tsne-3d-one,tsne-3d-two,tsne-3d-three,Prompt,Property
11.218948,2.0407782,-19.388746,Define any jargon or technical terms for a broader audience.,Clarity
4.7780857,-7.1992064,-13.314257,Provide concrete examples to illustrate abstract concepts. ,Clarity
17.010212,-8.147155,-11.083426,Use transitional phrases to guide the reader's understanding.,Clarity
19.211134,4.1299667,-7.3561482,Replace vague language with specific and precise words.,Clarity
10.107558,-15.437863,-19.903414,Ensure logical flow and organization of ideas.,Clarity
26.79943,6.2109,-7.860577,Rephrase using active voice for a more direct style.,Clarity
12.605243,4.2916446,-12.9251175,"Remove tangents, focus on the core message.",Clarity
17.036911,4.8456135,-15.595904,Avoid overly complex vocabulary in favor of clear communication.,Clarity
9.5017395,-2.1965284,-14.862106,Add a brief explanation or summary to clarify complex points.,Clarity
13.591491,-4.6604075,10.325997,Incorporate puns or double meanings for a touch of humor.,Wordplay
24.350582,0.31716868,4.003801,Use alliteration or assonance for a playful musicality.,Wordplay
26.212908,-2.5462246,3.481654,Experiment with rhyme and rhythm.,Wordplay
16.709948,-5.1773067,11.237952,Play with homonyms or homophones for unexpected twists.,Wordplay
14.741751,10.011704,-7.6159797,Introduce slang or colloquialisms for a casual tone.,Wordplay
-8.815289,14.59418,-6.7606087,Rewrite this using a distinct regional dialect (specify in prompt).,Regional
-9.694091,13.219914,-4.6334586,Incorporate regional slang or colloquialisms for local flavor.,Regional
-6.65527,12.38042,-10.310026,Adjust the tone to reflect a specific regional attitude or personality.,Regional
-12.998192,7.8205137,-3.8451898,"Include references to local landmarks, customs, or events. ",Regional
-8.121822,14.342089,-8.02038,Adjust the spelling or phrasing to reflect regional pronunciation. ,Regional
12.766501,-4.5713563,10.976983,Incorporate puns and humorous wordplay.,Wordplay
25.333458,1.631007,3.285385,"Utilize alliteration, assonance, or consonance to add a rhythmic element.",Wordplay
16.54564,-7.447814,9.14728,Rephrase using idioms or figures of speech for a playful twist.,Wordplay
22.990414,1.6572973,7.4942274,"Play with onomatopoeia for a more immersive, sound-based experience. ",Wordplay
15.74636,-1.7172098,11.290978,Reimagine this as a series of playful riddles.,Wordplay
18.711433,-3.304015,8.370652,Use portmanteaus (blending words) for a creative touch. ,Wordplay
8.941453,-5.0095396,20.266857,Introduce a touch of irony or sarcasm with word choice.,Wordplay
24.871181,-7.821546,4.762167,Experiment with spoonerisms or other forms of word transposition. ,Wordplay
23.540035,-5.865687,7.8838954,Incorporate palindromes for a touch of linguistic fun.,Wordplay
16.65287,-7.76598,9.334717,Rework common proverbs or sayings for a humorous twist. ,Wordplay
6.694716,-0.06908861,10.719312,Rewrite with a sense of lightheartedness and optimism. ,Tone
-4.5465546,-9.017428,22.3475,Infuse the text with a sense of foreboding or suspense.,Tone
-2.2473524,13.903028,-12.418391,Adopt a formal and authoritative tone.,Tone
8.326594,-4.617878,19.859121,Inject a sense of playful sarcasm or irony.,Tone
-16.01456,20.456823,8.269643,Make this sound wistful and nostalgic.,Tone
-7.2884974,-26.22145,-3.4421144,Rewrite with a sense of urgency and immediacy.,Tone
-3.3307116,-0.25443736,20.162035,Convey a tone of detached objectivity or clinical observation.,Tone
-7.6097984,-11.222583,12.113277,Imbue the text with a sense of mystery or intrigue. ,Tone
-4.706571,7.214104,-11.797265,Adopt a friendly and conversational tone.,Tone
-5.947286,3.0033855,29.339775,Infuse a dark and cynical tone. ,Tone
-10.419592,15.628176,-5.346787,Incorporate slang and colloquialisms from the American South.,Regional
-8.5462475,15.81626,-7.206229,Rewrite with a distinct New England dialect and attitude. ,Regional
-12.74596,14.737918,-11.107802,Capture the voice and flavor of the American Midwest.,Regional
-7.2308517,14.71223,-7.095727,"Rephrase to reflect a California ""surfer"" or ""Valley"" dialect.",Regional
-15.503268,20.518314,-5.331158,"Inject the rhythm and terminology of a specific urban setting (e.g., New York City).",Regional
-9.627746,17.590273,-5.2112417,Rewrite with a Texas drawl and colloquialisms.,Regional
-6.936338,16.139181,-7.243488,Rephrase to sound like it's from the Pacific Northwest.,Regional
-8.849598,14.074921,-4.3630056,Inject the dialect and idioms of the UK countryside.,Regional
-8.038696,14.703907,-5.883716,"Adopt a historical regional dialect (e.g., a rural Appalachian dialect from the early 1900s).",Regional
-8.416361,10.777629,-3.9159803,Reflect the unique phrasing and vocabulary of Cajun or Creole.,Regional
1.6641479,18.819927,11.37719,Rewrite this using the language and style of Shakespeare.,Archaic
-1.2421468,26.604033,3.3136935,Refashion this in the style of a medieval text.,Archaic
0.8678094,22.222576,-0.2611508,Utilize archaic words and sentence structure for an antiquated feel.,Archaic
2.1145113,23.55971,6.6724863,Incorporate biblical language and phrasing.,Archaic
2.8666027,18.54495,16.453136,Reflect a Victorian-era style with elaborate phrasing.,Archaic
-1.0635442,21.479317,-1.4087716,Emulate the language of older legal documents or proclamations. ,Archaic
-5.73311,14.497774,-5.352953,Use a nautical or pirate-themed dialect from historical fiction.,Archaic
16.093723,4.089567,-4.7725763,Rephrase with a focus on ornate and embellished language.,Archaic
2.2266517,16.540667,16.247463,Imitate the flowery prose of classic romantic literature.,Archaic
-0.9053175,21.463907,-1.4519306,Incorporate older spellings and grammatical constructions.,Archaic
-16.843943,7.648218,23.687185,Rewrite this in the style of a hard-boiled detective novel.    ,Style
-9.261188,11.52321,19.146736,Rephrase as a science fiction short story.,Style
2.1454878,22.366945,19.728817,"Emulate the sparse, minimalist style of Ernest Hemingway.",Style
4.0171824,21.32543,12.543926,Rewrite in the stream-of-consciousness style of James Joyce.,Style
-9.050067,5.305929,24.667406,Infuse the text with a gothic horror atmosphere and tone. ,Style
4.0149536,10.400717,11.657659,Capture the lyrical and evocative prose of a nature writer.,Style
-4.861503,19.745525,12.391713,"Rewrite in the whimsical, fantastical style of a children's book.",Style
-17.478577,3.1734073,24.047249,"Emulate the fast-paced, punchy style of a thriller or action novel.",Style
5.3131094,14.979635,8.833825,Cast this as a piece of beat poetry or spoken word. ,Style
8.135221,13.175924,20.62112,"Inject the dramatic, heightened language of a stage play. ",Style
25.358166,-2.1262186,-7.899129,Rewrite with a mix of short and long sentences for variety.,Sentence Structure
26.845572,-1.8957599,-13.779565,"Replace complex sentences with a series of short, punchy ones.",Sentence Structure
26.092583,-2.1701262,-10.270544,"Combine short sentences into longer, flowing ones for elegance.",Sentence Structure
21.264017,-13.127593,-7.0915775,Start several sentences with the same word or phrase for emphasis.,Sentence Structure
21.423073,-5.8082895,-1.3938559,Employ parallel structure for balance and rhythm.,Sentence Structure
24.943073,-12.337621,3.818716,Experiment with unusual sentence fragments for a dramatic effect. ,Sentence Structure
20.719376,-5.541386,-8.448251,Reorder sentences to create a more impactful flow of ideas.,Sentence Structure
13.549959,-7.656162,-4.0261645,Incorporate rhetorical questions to engage the reader.,Sentence Structure
14.662287,-18.262602,9.697585,Utilize periodic sentences to build suspense and emphasis. ,Sentence Structure
23.411951,-10.808209,3.421974,Experiment with deliberately awkward sentence structures for emphasis.,Sentence Structure
-10.410333,17.544441,-5.5239096,Adopt a distinct Southern drawl in the phrasing and sentence structure.,Regional
-11.086889,15.689483,-11.031296,Rewrite incorporating informal contractions and grammar typical of the Midwest.,Regional
31.252655,-3.570788,0.88778466,"Rephrase with a fast-paced, clipped rhythm reminiscent of New York City speech.",Regional
31.837431,-2.3751762,-2.1963832,Inject the casual and relaxed sentence flow of the West Coast.,Regional
-7.737805,12.266605,-7.6659837,Imbue the text with the unique cadence and patterns of a specific Native American dialect. ,Regional
28.482498,-0.16783026,0.6971671,Capture the rhythm and flow of African American Vernacular English (AAVE).,Regional
-3.4520755,20.660765,-2.2966092,Emulate the formality and structure of traditional British English.,Regional
28.615005,-1.3124653,-1.6833466,Utilize the lyrical phrasing and sentence patterns of Irish English.,Regional
-10.684304,21.648045,-5.9954367,Rephrase using the sentence structure and colloquialisms of Australian English.,Regional
29.488117,-1.1480744,1.2543166,Adopt the distinct rhythms and patterns typical of rural Canadian speech. ,Regional
23.406116,1.8525702,3.0104942,Prioritize alliteration and assonance for a musical effect.,Sound & Rhythm
25.7708,0.21471405,-3.5626464,"Aim for a staccato rhythm using short, impactful words and sentences. ",Sound & Rhythm
21.472486,1.9942739,7.1256804,Utilize onomatopoeia to create sound-based imagery.,Sound & Rhythm
26.664442,0.22095537,4.9112577,Emphasize internal rhyme for a poetic feel.,Sound & Rhythm
26.679697,-2.2722678,3.3862026,Experiment with meter and rhythm to create a structured cadence.,Sound & Rhythm
24.248579,-3.1371813,1.2115974,Incorporate repetition of words or phrases for rhythmic emphasis.,Sound & Rhythm
17.146986,4.5781655,4.900644,Use harsh-sounding consonants for a discordant or aggressive effect. ,Sound & Rhythm
19.216906,-1.6431075,2.4715562,Favor soft and flowing sounds for a calming and gentle tone. ,Sound & Rhythm
22.37705,-15.972669,4.0657578,Incorporate pauses or breaks indicated by punctuation for dramatic effect.,Sound & Rhythm
24.729424,-1.6009167,4.5642304,Aim for a sing-song rhythm for playful and childlike effect.,Sound & Rhythm
5.654838,16.902248,17.537024,Emulate the stream-of-consciousness style of Virginia Woolf.,Style
-10.346036,8.501549,-15.90663,Rewrite in the telegraphic style of a news report.,Style
-10.448152,0.3199349,14.420075,Inject the text with the surreal and dreamlike language of magical realism.,Style
7.9331164,0.27959293,27.264599,Rephrase this as a satirical social commentary.,Style
-13.363281,3.24991,-21.350567,Cast this as a piece of persuasive advertising copy.,Style
-9.201029,6.126834,11.238682,Rephrase as the internal monologue of a character.,Style
-1.2362882,10.861426,-14.752663,Rewrite this in the format of a formal letter or memo.,Style
-18.982006,-15.468268,2.4713304,Channel the hyperbolic and self-aggrandizing style of a motivational speech.,Style
8.601111,16.275558,9.810418,Reimagine this as a set of song lyrics.,Style
-18.19428,-2.4410887,9.548313,Rewrite this as a series of diary or journal entries.,Style
21.290998,-16.029541,-8.40768,Place the most important words at the beginning or end of sentences.,Emphasis
13.557878,-15.159804,-12.239284,Utilize italics or formatting strategically to highlight key concepts.,Emphasis
25.62424,-4.6761665,-13.299681,"Employ short, powerful sentences to punctuate important points.",Emphasis
14.156532,-15.938182,-3.9504173,Use repetition to reinforce a central theme or idea.,Emphasis
6.510201,-2.698228,4.401077,Contrast opposing ideas for dramatic effect.,Emphasis
-13.921365,-22.792217,-1.7465193,Include a call to action or a direct imperative.,Emphasis
5.126254,0.3188812,-5.6636405,Introduce a startling or provocative statement to grab attention.  ,Emphasis
0.6267255,-16.707525,0.51031274,Use vivid imagery or sensory details to emphasize specific elements.,Emphasis
8.541273,-12.105147,-1.1043321,"Utilize a crescendo structure, building intensity throughout the text. ",Emphasis
13.557456,-6.639727,-2.4611974,Incorporate a series of questions to heighten focus and curiosity. ,Emphasis
19.63735,-0.13528289,2.8757915,"Emphasize consonant sounds for a specific effect (e.g., soft sibilants for a soothing feel, hard plosives for aggression).",Sound & Rhythm
24.265652,-1.484506,4.8856487,Create a playful rhythm using words with similar syllable counts.,Sound & Rhythm
19.147526,-17.920122,-5.36818,Utilize a repetitive structure with subtle variations for a hypnotic effect.,Sound & Rhythm
23.062803,0.45656988,2.401598,Incorporate words with a rising and falling tonal quality for a melodic feel.,Sound & Rhythm
26.258738,-0.63485336,-4.0892115,Use a combination of short and long words to create rhythmic variation.,Sound & Rhythm
24.078238,-1.6430715,0.513153,"Craft a rhythmic crescendo, gradually increasing the intensity of word sounds. ",Sound & Rhythm
25.61255,-3.484275,3.6757421,Play with abrupt stops and starts in the rhythm for a jarring effect.,Sound & Rhythm
25.958712,-0.29600516,4.6750283,"Incorporate rhyme, even if imperfect, for a sing-song feel.",Sound & Rhythm
10.842914,-1.9610183,-0.9932931,Prioritize words with a percussive quality for added emphasis.,Sound & Rhythm
29.221012,-2.9813857,0.6632025,Imitate the natural rhythm of spoken conversation.,Sound & Rhythm
14.4617195,8.75014,-13.793768,"Rewrite with precise, unambiguous language to minimize misinterpretation.",Legal
0.91896886,19.914225,-4.7463636,"Utilize formal, legalistic terminology and phrasing.",Legal
8.708116,2.3293178,-21.081087,Incorporate specific legal definitions and citations.,Legal
17.265867,10.294712,-11.245226,Remove any informal contractions or casual language.,Legal
7.960851,-15.377449,-17.560196,Structure sentences and paragraphs in a clear and logical order.,Legal
28.097887,7.0794773,-6.426704,Rephrase using the passive voice where appropriate for legal style.,Legal
28.746782,14.034453,2.5651457,"Introduce ""whereas"" clauses and other typical legal constructs. ",Legal
3.876285,8.1019745,-21.039436,"Ensure the text adheres to the structure of a typical legal document (contract, brief, etc.).",Legal
15.883168,9.241506,-13.441493,Eliminate any potential loopholes or ambiguities in the phrasing.,Legal
28.054115,-5.9988327,-5.9134035,"Favor lengthy, complex sentences typical of legal documents. ",Legal
18.013176,8.496588,-18.162588,Replace jargon with universally understood language.,Clarity
4.7779365,-7.1993046,-13.314254,Provide concrete examples to illustrate abstract concepts.,Clarity
12.20378,-5.428518,-14.933546,"Break down complex ideas into smaller, easier-to-understand chunks.",Clarity
22.665691,-2.752274,-11.837762,Use simple sentence structures to avoid confusion.,Clarity
11.087407,2.204087,-19.88784,Define any technical or specialized terms.,Clarity
27.234274,6.576839,-8.581891,Favor active voice over passive voice for directness.,Clarity
10.034197,-15.419589,-19.842386,Ensure a logical and organized flow of ideas.,Clarity
17.765383,8.550198,-11.396816,Remove any unnecessary adverbs or modifiers.,Clarity
15.286513,9.421408,-14.13033,Rephrase to avoid ambiguity or multiple interpretations.,Clarity
17.437693,-7.693972,-10.498477,Employ transitional words and phrases forスムーズness.,Clarity
4.2621794,-7.8453355,16.375307,Introduce elements of absurdity or the unexpected.,Humor
15.217136,0.47970754,20.989021,Exaggerate situations or characteristics for comedic effect.,Humor
5.1624646,0.38428408,20.633911,Utilize a self-deprecating tone for lightheartedness.,Humor
6.046742,-2.1876533,22.113388,"Employ sarcasm, but signal it clearly to avoid misinterpretation.",Humor
11.430158,-7.2364364,22.86224,Use irony to highlight discrepancies or contradictions.,Humor
18.533123,-6.3038135,14.570009,Play with misunderstandings or double meanings.,Humor
8.25707,-6.0083447,20.20333,Introduce a witty or satirical observation.,Humor
-13.372765,5.3450017,9.4788475,Tell this from the perspective of an absurdly naive or arrogant character.,Humor
20.868391,2.3299665,22.010286,"Draw humor from relatable, everyday situations.",Humor
7.946345,-13.209074,15.508187,Incorporate surprise twists or unexpected punchlines.,Humor
18.408535,6.8993883,-4.9368744,Replace mundane words with more evocative and descriptive synonyms.,Word Choice
1.9832357,-16.313639,3.26656,Employ sensory details to create a more vivid experience.,Word Choice
16.392624,0.027756866,-4.171908,Favor precise and specific nouns and verbs. ,Word Choice
6.451326,-12.245716,12.722687,Surprise the reader with unexpected or unusual word choices.,Word Choice
2.9794614,-8.340876,-2.135636,"Use figurative language (metaphor, simile, etc.) for added depth.",Word Choice
11.260069,-0.08572644,4.836183,Choose words with strong connotations to influence the reader's emotions.,Word Choice
20.107426,8.020218,-10.248,Eliminate clichés and overused phrases.,Word Choice
12.39787,4.5572705,-1.1348983,Consider the overall tone and choose words that support it.,Word Choice
15.258348,-2.9758966,-8.382604,Ensure word choice aligns with the intended audience. ,Word Choice
10.314435,1.6516591,3.0732374,Pay attention to the denotative and connotative meanings of words. ,Word Choice
19.28605,3.6341796,-7.34915,Replace vague descriptions with concrete and precise imagery.,Specificity
4.827863,-6.1773195,-15.264138,Provide specific examples to illustrate general concepts.,Specificity
4.2618337,-4.831129,-28.395742,Incorporate quantifiable details or measurements where possible. ,Specificity
19.084436,5.5008345,-6.1889873,Replace general adjectives with more specific and descriptive ones.,Specificity
4.6388087,-15.569382,3.112013,Focus on tangible details that can be visualized.,Specificity
-15.651494,10.560822,-1.0199648,"Include relevant dates, times, or locations for clarity.",Specificity
11.80748,3.6985602,-18.971947,Define any terms or acronyms that could be misunderstood.,Specificity
22.512098,9.220639,-11.655735,Avoid sweeping generalizations or overstatements.,Specificity
2.7859128,-6.784321,-13.280573,Ground abstract ideas with real-world scenarios.,Specificity
21.005802,4.431594,-4.7232943,Favor specific nouns over vague pronouns. ,Specificity
11.613828,-0.14449546,4.776226,Employ words with strong emotional connotations.,Emotional Resonance
13.060978,-2.4614763,4.0746627,Evoke a specific mood or atmosphere through word choice.,Emotional Resonance
-9.47668,-12.95875,6.83659,"Tap into universal emotions (love, fear, joy, anger, etc.).",Emotional Resonance
2.7772768,-16.325905,3.7697494,Focus on sensory details to create an immersive experience.,Emotional Resonance
-0.0035039198,-16.791758,0.36231014,Incorporate vivid imagery and metaphors to appeal to the senses.,Emotional Resonance
-13.308824,-7.736095,-1.5315692,Relate to the reader's personal experiences or values.,Emotional Resonance
-23.054333,-6.914245,4.4852834,Express vulnerability or honesty for connection.,Emotional Resonance
-9.066098,-6.9661727,-3.3272264,Tell a relatable story to evoke empathy.,Emotional Resonance
10.212149,-12.360507,1.490895,Use rhythm and pacing to influence the reader's emotional state. ,Emotional Resonance
4.4966493,2.4406428,-3.8656092,End with a powerful and emotionally resonant statement. ,Emotional Resonance
14.328905,0.6032451,-6.6444783,Use precise and accurate terminology from the relevant field.,Technical
10.487976,2.2784371,-18.855,Define specialized terms or concepts for a broader audience.,Technical
4.198626,1.6389343,8.068313,Favor a dispassionate and objective tone.,Technical
9.550245,-12.98018,-17.954643,Follow a logical and structured format for presenting information.,Technical
9.507642,-5.554632,-19.798857,"Include diagrams, charts, or other visual aids for clarification. ",Technical
17.295986,-1.1338339,-11.915541,Prioritize clarity and ease of understanding over stylistic flair.,Technical
1.0730052,3.995375,-28.972776,"Break down complex processes into simple, step-by-step instructions.",Technical
14.88806,-3.8830807,-10.68655,Ensure consistency in terminology and formatting.,Technical
18.672287,10.863857,-11.555838,Remove any language that is overly informal or subjective.,Technical
12.733644,-14.259766,-15.755276,"Utilize formatting (headings, lists, etc.) to improve organization. ",Technical
26.647655,-3.2649033,-5.816899,Vary sentence length and structure for rhythm and flow.,Sentence Structure
21.354723,-6.603382,-2.3719916,Employ parallel structure for a sense of balance and emphasis.,Sentence Structure
14.465449,-18.242712,9.732739,Utilize periodic sentences to build suspense or anticipation.,Sentence Structure
19.879635,-11.320381,-8.866247,Open sentences with strong verbs for impact and action.,Sentence Structure
13.54996,-7.6561613,-4.026165,Incorporate rhetorical questions to engage the reader.,Sentence Structure
26.321402,-1.0920664,-15.300555,"Employ short, declarative sentences for a punchy, direct style.",Sentence Structure
25.114798,-0.024861842,-10.69431,Break up long paragraphs with shorter ones for readability. ,Sentence Structure
23.299303,-10.537896,-6.6605773,"Use coordinating conjunctions (and, but, or, etc.) to connect ideas.",Sentence Structure
23.11743,-10.6216955,-6.5903997,"Utilize subordinating conjunctions (because, although, if, etc.) to establish relationships between ideas. ",Sentence Structure
25.308258,-12.435595,3.8524203,Experiment with intentional sentence fragments for a dramatic or poetic effect.,Sentence Structure
23.660967,3.305198,-6.3375754,Employ strong verbs and action-oriented language.,Persuasion
-12.075626,-17.58036,-7.140244,Appeal to the reader's self-interest or values.,Persuasion
-8.641763,-25.374933,-5.932654,Utilize a sense of urgency or scarcity to motivate action.,Persuasion
-3.0914757,-21.429012,-12.288219,Anticipate and address potential objections or counterarguments.,Persuasion
0.62689865,-13.428912,-20.32054,Provide evidence and examples to support claims.,Persuasion
-2.5495667,-17.181173,-14.264195,"Employ the power of three (listing three benefits, arguments, etc.).",Persuasion
16.479183,-15.094782,-5.0118036,Use repetition for emphasis and memorability.,Persuasion
-14.632334,-23.960846,-1.3956734,Present a clear call to action at the end.,Persuasion
-3.192,-15.907312,-18.25046,Establish credibility and demonstrate expertise.,Persuasion
-6.433549,-19.112915,-20.524855,"Utilize social proof (testimonials, endorsements).",Persuasion
13.654011,-4.5710244,10.449234,"Use puns, wordplay, or double meanings to create humor.",Humor
14.693317,1.7301617,19.88337,Exaggerate and use hyperbole for comic effect.,Humor
5.2870855,0.42101598,20.353182,Employ self-deprecating or sarcastic humor.,Humor
18.518354,-5.4662886,15.293119,Play with misunderstandings and misinterpretations for comedic effect. ,Humor
7.946392,-13.209062,15.50845,Incorporate surprise twists or unexpected punchlines.,Humor
11.448618,-7.223951,22.782417,Use irony to subtly highlight contradictions or absurdities.  ,Humor
16.357729,2.4059618,27.194078,Reference current events or pop culture in a satirical or humorous way. ,Humor
20.868391,2.329967,22.010286,"Draw humor from relatable, everyday situations.",Humor
1.6568242,3.0781803,23.354855,Rewrite with the exaggerated tone of an overly dramatic narrator.,Humor
15.613293,-2.9233227,15.761807,Introduce elements of slapstick or physical comedy through language. ,Humor
-3.1164868,-15.883584,-18.269491,Establish credibility and demonstrate expertise on the topic.,Persuasion
-8.639637,-16.145739,-3.8064604,"Appeal to the reader's emotions (fear, hope, ambition, etc.).",Persuasion
-12.622157,-20.306574,-10.484727,Highlight benefits the reader will gain to incentivize action.,Persuasion
-2.7546506,-21.04025,-12.329022,Address potential objections and provide counterarguments.,Persuasion
-3.4476933,-11.789489,-2.7855892,Use vivid storytelling to exemplify your message.,Persuasion
-6.215874,-19.192995,-20.808647,"Employ social proof (testimonials, statistics, endorsements).",Persuasion
-8.704087,-25.349674,-5.867281,Create a sense of urgency or scarcity to motivate action.,Persuasion
-14.491017,-23.778145,-2.19055,"Present a clear, concise, and compelling call to action. ",Persuasion
